ReportID,SalesPersonID,ProductID,Quantity,TotalSalesValue,Suspicious
Rep10141,C21918,PR6116,107,1050,indeterminate
Rep10142,C21918,PR6157,285,1380,indeterminate
Rep10143,C21918,PR6112,140,1355,indeterminate
Rep10144,C21918,PR6156,120,1045,indeterminate
Rep10145,C21918,PR6157,255,1435,indeterminate
Rep10146,C21918,PR6206,102,1045,indeterminate
Rep10147,C21918,PR6112,110,1055,indeterminate
Rep10148,C21918,PR6249,105,1070,No
Rep10149,C21918,PR6548,606,2035,indeterminate
Rep10150,C21918,PR6157,207,1190,indeterminate
Rep10151,C21918,PR6253,111,1110,indeterminate
Rep10152,C21918,PR6604,135,1305,indeterminate
Rep10153,C21918,PR6115,105,1120,indeterminate
Rep10154,C21918,PR6604,114,1195,indeterminate
Rep10155,C21918,PR6112,101,1035,indeterminate
Rep10156,C21918,PR6597,88,1030,indeterminate
Rep10157,C21918,PR6161,108,1435,indeterminate
Rep10158,C21918,PR6112,111,1050,indeterminate
Rep10159,C21918,PR6226,108,1090,indeterminate
Rep10160,C21918,PR6156,304,1315,indeterminate
Rep10161,C21918,PR6116,227,1590,indeterminate
Rep10162,C21918,PR6241,106,1010,indeterminate
Rep10163,C21918,PR6246,100,1005,No
Rep10164,C21918,PR6115,116,1490,indeterminate
Rep10165,C21918,PR6112,103,1255,indeterminate
Rep10166,C22276,PR6331,113,1920,indeterminate
Rep10167,C22276,PR6115,127,1335,indeterminate
Rep10168,C22276,PR6145,111,1320,indeterminate
Rep10169,C22276,PR6253,118,2715,indeterminate
Rep10170,C22276,PR6326,173,2425,indeterminate
Rep10171,C22276,PR6165,102,1275,indeterminate
Rep10172,C22276,PR6253,200,16110,indeterminate
Rep10173,C22276,PR6253,133,2530,No
Rep10174,C22276,PR6112,385,5095,indeterminate
Rep10175,C22276,PR6145,128,5795,indeterminate
Rep10176,C22276,PR6326,170,2005,indeterminate
Rep10177,C22276,PR6145,105,1910,indeterminate
Rep10178,C22276,PR6165,127,1335,indeterminate
Rep10179,C22276,PR6253,616,19005,indeterminate
Rep10180,C22276,PR6139,395,1365,indeterminate
Rep10181,C22276,PR6326,267,3125,indeterminate
Rep10182,C22276,PR6112,163,2995,indeterminate
Rep10183,C22276,PR6253,175,6530,No
Rep10184,C22276,PR6115,113,1135,indeterminate
Rep10185,C22276,PR6145,111,1320,indeterminate
Rep10186,C22276,PR6165,127,1335,indeterminate
Rep10187,C22276,PR6331,138,1795,indeterminate
Rep10188,C22276,PR6326,102,1095,indeterminate
Rep10189,C22276,PR6161,819,3600,indeterminate
Rep10190,C22276,PR6139,655,3275,indeterminate
Rep10191,C22276,PR6139,100,1100,indeterminate
Rep10192,C22276,PR6331,133,2490,indeterminate
Rep10193,C22276,PR6165,125,1585,indeterminate
Rep10194,C22276,PR6326,163,1670,indeterminate
Rep10195,C22276,PR6253,141,7615,indeterminate
Rep10196,C22276,PR6331,141,2440,indeterminate
Rep10197,C22276,PR6115,113,1180,indeterminate
Rep10198,C22276,PR6208,177,3890,indeterminate
Rep10199,C22276,PR6141,819,3660,indeterminate
Rep10200,C22276,PR6326,218,2675,indeterminate
Rep10201,C22276,PR6331,119,4015,indeterminate
Rep10202,C22276,PR6253,122,4585,indeterminate
Rep10203,C22276,PR6253,172,4305,indeterminate
Rep10204,C22276,PR6326,218,2675,indeterminate
Rep10205,C22276,PR6253,161,2865,indeterminate
Rep10206,C22276,PR6139,377,2115,indeterminate
Rep10207,C22276,PR6326,102,1095,indeterminate
Rep10208,C22276,PR6331,133,2790,indeterminate
Rep10209,C22276,PR6241,105,1375,indeterminate
Rep10210,C22276,PR6253,147,2425,indeterminate
Rep10211,C22276,PR6145,111,1320,indeterminate
Rep10212,C22276,PR6112,163,2995,indeterminate
Rep10213,C22276,PR6165,102,1025,indeterminate
Rep10214,C22276,PR6474,122,3150,indeterminate
Rep10215,C22276,PR6145,111,1320,indeterminate
Rep10216,C22276,PR6331,133,2490,indeterminate
Rep10217,C22276,PR6112,129,1855,indeterminate
Rep10218,C22276,PR6326,162,1895,indeterminate
Rep10219,C22276,PR6253,147,2425,indeterminate
Rep10220,C22276,PR6326,163,1670,indeterminate
Rep10221,C22276,PR6115,127,1335,indeterminate
Rep10222,C22276,PR6326,115,1225,indeterminate
Rep10223,C22276,PR6165,100,1050,indeterminate
Rep10224,C22276,PR6208,152,2740,indeterminate
Rep10225,C22276,PR6253,150,1995,indeterminate
Rep10226,C22276,PR6115,111,1265,indeterminate
Rep10227,C22276,PR6139,655,3275,indeterminate
Rep10228,C22276,PR6145,111,2475,indeterminate
Rep10229,C22276,PR6331,113,1920,indeterminate
Rep10230,C22276,PR6165,113,1195,indeterminate
Rep10231,C22276,PR6326,102,1095,indeterminate
Rep10232,C22276,PR6602,101,1205,indeterminate
Rep10233,C22276,PR6112,137,2425,indeterminate
Rep10234,C22276,PR6248,125,2210,indeterminate
Rep10235,C22276,PR6139,100,991,indeterminate
Rep10236,C22276,PR6208,123,1665,indeterminate
Rep10237,C22276,PR6326,163,1670,indeterminate
Rep10238,C22276,PR6326,163,1670,indeterminate
Rep10239,C22276,PR6326,131,1450,indeterminate
Rep10240,C22276,PR6253,119,1955,indeterminate
Rep10241,C22276,PR6112,163,2995,indeterminate
Rep10242,C22276,PR6331,113,1350,indeterminate
Rep10243,C22276,PR6165,127,1335,indeterminate
Rep10244,C22276,PR6145,470,6295,indeterminate
Rep10245,C22276,PR6112,220,2830,indeterminate
Rep10246,C22276,PR6253,104,2120,indeterminate
Rep10247,C22276,PR6112,190,2275,indeterminate
Rep10248,C22276,PR6253,150,1995,indeterminate
Rep10249,C22276,PR6139,655,3275,indeterminate
Rep10250,C22276,PR6616,102,1065,indeterminate
Rep10251,C22276,PR6326,218,2675,indeterminate
Rep10252,C22276,PR6220,119,1800,indeterminate
Rep10253,C22276,PR6326,105,1155,indeterminate
Rep10254,C22276,PR6139,655,3275,indeterminate
Rep10255,C22276,PR6253,230,13035,indeterminate
Rep10256,C22276,PR6139,101,1100,indeterminate
Rep10257,C22276,PR6141,377,2115,indeterminate
Rep10258,C22276,PR6276,138,1560,indeterminate
Rep10259,C22276,PR6326,341,4360,indeterminate
Rep10260,C22276,PR6139,101,1100,indeterminate
Rep10261,C22276,PR6115,127,1335,indeterminate
Rep10262,C22276,PR6253,266,5025,indeterminate
Rep10263,C21820,PR6227,305,2855,indeterminate
Rep10264,C21820,PR6167,6121,22745,indeterminate
Rep10265,C21820,PR6227,232,2600,indeterminate
Rep10266,C21820,PR6602,2841,18065,indeterminate
Rep10267,C21820,PR6182,1070,4050,indeterminate
Rep10268,C21820,PR6167,3158,13090,indeterminate
Rep10269,C21820,PR6604,900,6560,indeterminate
Rep10270,C21820,PR6548,1786,7000,indeterminate
Rep10271,C21820,PR6173,955,4040,indeterminate
Rep10272,C21820,PR6112,1097,6440,indeterminate
Rep10273,C21820,PR6171,442,2355,indeterminate
Rep10274,C21820,PR6227,305,2855,indeterminate
Rep10275,C21820,PR6167,1194,6750,indeterminate
Rep10276,C21820,PR6604,1260,9060,indeterminate
Rep10277,C21820,PR6171,235,1535,indeterminate
Rep10278,C21820,PR6603,291,4295,indeterminate
Rep10279,C21820,PR6112,373,6620,indeterminate
Rep10280,C21820,PR6183,1971,7285,indeterminate
Rep10281,C21820,PR6183,2788,10995,indeterminate
Rep10282,C21820,PR6112,373,6620,indeterminate
Rep10283,C21820,PR6167,1586,5570,indeterminate
Rep10284,C21820,PR6112,101,1005,indeterminate
Rep10285,C21820,PR6171,2748,26825,indeterminate
Rep10286,C21820,PR6167,3155,14830,indeterminate
Rep10287,C21820,PR6603,206,2780,indeterminate
Rep10288,C21820,PR6112,101,1005,indeterminate
Rep10289,C21820,PR6167,3155,14830,indeterminate
Rep10290,C21820,PR6181,8241,16275,indeterminate
Rep10291,C21820,PR6182,2097,6365,indeterminate
Rep10292,C21820,PR6604,144,1460,indeterminate
Rep10293,C21820,PR6171,235,1535,indeterminate
Rep10294,C21820,PR6167,283,4120,indeterminate
Rep10295,C21820,PR6616,488,4055,indeterminate
Rep10296,C21820,PR6171,3616,37495,indeterminate
Rep10297,C21820,PR6171,133,1720,indeterminate
Rep10298,C21820,PR6604,900,6560,indeterminate
Rep10299,C21820,PR6604,116,1175,indeterminate
Rep10300,C21820,PR6167,283,4120,indeterminate
Rep10301,C21820,PR6112,1097,6440,indeterminate
Rep10302,C21820,PR6603,550,11875,indeterminate
Rep10303,C21820,PR6170,5675,29300,indeterminate
Rep10304,C21820,PR6172,113,1250,indeterminate
Rep10305,C21820,PR6182,3791,11675,indeterminate
Rep10306,C21820,PR6171,2058,16425,indeterminate
Rep10307,C21820,PR6602,2841,18065,indeterminate
Rep10308,C21820,PR6181,18188,36870,indeterminate
Rep10309,C21820,PR6322,138,1530,indeterminate
Rep10310,C21820,PR6170,4478,23540,indeterminate
Rep10311,C21820,PR6167,3158,13090,indeterminate
Rep10312,C21820,PR6552,3083,11460,indeterminate
Rep10313,C21820,PR6603,550,11875,indeterminate
Rep10314,C21820,PR6167,4408,18170,indeterminate
Rep10315,C21820,PR6604,900,6560,indeterminate
Rep10316,C21820,PR6173,955,4040,indeterminate
Rep10317,C21820,PR6112,101,1005,indeterminate
Rep10318,C21820,PR6171,442,2355,indeterminate
Rep10319,C21820,PR6227,305,2855,indeterminate
Rep10320,C21820,PR6227,305,2855,indeterminate
Rep10321,C21820,PR6171,442,2355,indeterminate
Rep10322,C21820,PR6181,18627,39075,indeterminate
Rep10323,C21820,PR6167,366,4145,indeterminate
Rep10324,C21820,PR6181,11222,22975,indeterminate
Rep10325,C21820,PR6167,6121,23315,indeterminate
Rep10326,C21820,PR6170,1953,10420,indeterminate
Rep10327,C21820,PR6503,793,2235,indeterminate
Rep10328,C21820,PR6171,2058,16425,indeterminate
Rep10329,C21820,PR6171,200,5475,indeterminate
Rep10330,C21820,PR6602,1981,12720,indeterminate
Rep10331,C21820,PR6171,2748,26825,indeterminate
Rep10332,C21820,PR6602,843,5700,indeterminate
Rep10333,C21820,PR6167,6121,22745,indeterminate
Rep10334,C21820,PR6183,286,1555,indeterminate
Rep10335,C21820,PR6182,1716,6970,indeterminate
Rep10336,C21820,PR6167,611,4415,indeterminate
Rep10337,C21820,PR6171,402,3950,indeterminate
Rep10338,C21820,PR6175,216,4600,indeterminate
Rep10339,C21820,PR6167,283,4120,indeterminate
Rep10340,C21820,PR6602,878,5550,indeterminate
Rep10341,C21820,PR6175,108,1340,indeterminate
Rep10342,C21820,PR6602,2841,18065,indeterminate
Rep10343,C21820,PR6167,3155,14830,indeterminate
Rep10344,C21820,PR6227,305,2855,indeterminate
Rep10345,C21820,PR6503,793,2235,indeterminate
Rep10346,C21820,PR6183,1740,5930,indeterminate
Rep10347,C21820,PR6183,1373,5320,indeterminate
Rep10348,C21820,PR6171,402,3950,indeterminate
Rep10349,C21820,PR6602,1981,12720,indeterminate
Rep10350,C21820,PR6171,3616,37495,indeterminate
Rep10351,C21820,PR6165,410,3555,indeterminate
Rep10352,C21820,PR6604,1260,9060,indeterminate
Rep10353,C21820,PR6167,4408,18170,indeterminate
Rep10354,C21820,PR6112,373,6620,indeterminate
Rep10355,C21820,PR6166,132,1300,indeterminate
Rep10356,C21820,PR6166,190,1625,indeterminate
Rep10357,C21820,PR6171,200,5475,indeterminate
Rep10358,C21820,PR6182,3791,11675,indeterminate
Rep10359,C21820,PR6112,101,1005,indeterminate
Rep10360,C21820,PR6112,1097,6440,indeterminate
Rep10361,C21820,PR6112,373,6620,indeterminate
Rep10362,C21820,PR6170,4478,23540,indeterminate
Rep10363,C21820,PR6170,4842,24950,indeterminate
Rep10364,C21820,PR6167,4408,18170,indeterminate
Rep10365,C21820,PR6167,1194,6750,indeterminate
Rep10366,C21820,PR6166,101,1570,indeterminate
Rep10367,C21820,PR6602,1420,9035,indeterminate
Rep10368,C21820,PR6602,843,5700,indeterminate
Rep10369,C21820,PR6165,410,3555,indeterminate
Rep10370,C21820,PR6167,366,4145,indeterminate
Rep10371,C21820,PR6183,2788,10995,indeterminate
Rep10372,C21820,PR6172,125,1465,indeterminate
Rep10373,C21820,PR6182,1716,6970,indeterminate
Rep10374,C21820,PR6171,1450,11450,indeterminate
Rep10375,C21820,PR6112,1347,7210,indeterminate
Rep10376,C21820,PR6181,14097,27195,indeterminate
Rep10377,C21820,PR6165,205,1860,indeterminate
Rep10378,C21820,PR6167,145,1345,indeterminate
Rep10379,C21820,PR6170,1953,10420,indeterminate
Rep10380,C21820,PR6603,291,4295,indeterminate
Rep10381,C21820,PR6529,3035,10325,indeterminate
Rep10382,C21820,PR6171,200,5475,indeterminate
Rep10383,C21820,PR6602,1981,12720,indeterminate
Rep10384,C21820,PR6173,955,4040,indeterminate
Rep10385,C21820,PR6183,3190,9850,indeterminate
Rep10386,C21820,PR6167,366,4145,indeterminate
Rep10387,C21820,PR6604,2543,17330,indeterminate
Rep10388,C21820,PR6181,10587,32420,indeterminate
Rep10389,C21820,PR6603,110,1095,indeterminate
Rep10390,C21820,PR6171,1450,11450,indeterminate
Rep10391,C21820,PR6171,3616,37350,indeterminate
Rep10392,C21820,PR6166,132,1300,indeterminate
Rep10393,C21820,PR6183,3190,9850,indeterminate
Rep10394,C21820,PR6112,217,3425,indeterminate
Rep10395,C21820,PR6552,3083,11460,indeterminate
Rep10396,C21820,PR6548,1786,7000,indeterminate
Rep10397,C21820,PR6112,1097,6440,indeterminate
Rep10398,C21820,PR6227,305,2855,indeterminate
Rep10399,C21820,PR6181,16803,32265,indeterminate
Rep10400,C21820,PR6171,1450,11450,indeterminate
Rep10401,C21820,PR6322,138,1530,indeterminate
Rep10402,C21820,PR6181,18627,39075,indeterminate
Rep10403,C21820,PR6166,162,1415,indeterminate
Rep10404,C21820,PR6603,291,4295,indeterminate
Rep10405,C21820,PR6166,546,3550,indeterminate
Rep10406,C21820,PR6171,402,3950,indeterminate
Rep10407,C21820,PR6183,772,2610,indeterminate
Rep10408,C21820,PR6182,2047,6265,indeterminate
Rep10409,C21820,PR6171,1450,11450,indeterminate
Rep10410,C21820,PR6602,843,5700,indeterminate
Rep10411,C21820,PR6183,286,1555,indeterminate
Rep10412,C21820,PR6604,116,1175,indeterminate
Rep10413,C21820,PR6183,1971,7285,indeterminate
Rep10414,C21820,PR6181,10587,32420,indeterminate
Rep10415,C21820,PR6167,3158,13090,indeterminate
Rep10416,C21820,PR6171,133,1720,indeterminate
Rep10417,C21820,PR6529,3035,10325,indeterminate
Rep10418,C21820,PR6182,1716,6970,indeterminate
Rep10419,C21820,PR6183,1373,5320,indeterminate
Rep10420,C21820,PR6503,793,2235,indeterminate
Rep10421,C21820,PR6528,1433,3415,indeterminate
Rep10422,C21820,PR6603,110,1095,indeterminate
Rep10423,C21820,PR6552,3083,11460,indeterminate
Rep10424,C21820,PR6183,286,1555,indeterminate
Rep10425,C21820,PR6171,442,2355,indeterminate
Rep10426,C21820,PR6171,1450,11450,indeterminate
Rep10427,C21820,PR6171,133,1720,indeterminate
Rep10428,C21820,PR6603,291,4295,indeterminate
Rep10429,C21820,PR6528,1433,3415,indeterminate
Rep10430,C21820,PR6253,100,1035,indeterminate
Rep10431,C21820,PR6166,190,1625,indeterminate
Rep10432,C21820,PR6604,1236,9005,indeterminate
Rep10433,C21820,PR6112,2602,11335,indeterminate
Rep10434,C21820,PR6112,217,3425,indeterminate
Rep10435,C21820,PR6604,116,1175,indeterminate
Rep10436,C21820,PR6175,172,2730,indeterminate
Rep10437,C21820,PR6165,410,3555,indeterminate
Rep10438,C21820,PR6171,2058,16425,indeterminate
Rep10439,C21820,PR6604,1236,9005,indeterminate
Rep10440,C21820,PR6112,373,6620,indeterminate
Rep10441,C21820,PR6167,283,4120,indeterminate
Rep10442,C21820,PR6167,4408,18170,indeterminate
Rep10443,C21820,PR6167,1194,6750,indeterminate
Rep10444,C21820,PR6173,955,4040,indeterminate
Rep10445,C21820,PR6182,1716,6970,indeterminate
Rep10446,C21820,PR6112,3980,30040,indeterminate
Rep10447,C21820,PR6529,3035,10325,indeterminate
Rep10448,C21820,PR6165,410,3555,indeterminate
Rep10449,C21820,PR6181,10587,32420,indeterminate
Rep10450,C21820,PR6167,3155,14830,indeterminate
Rep10451,C21820,PR6528,1433,3415,indeterminate
Rep10452,C21820,PR6182,3683,11005,indeterminate
Rep10453,C21820,PR6181,18188,36870,indeterminate
Rep10454,C21820,PR6183,1373,5320,indeterminate
Rep10455,C21820,PR6616,488,4055,indeterminate
Rep10456,C21820,PR6173,955,4040,indeterminate
Rep10457,C21820,PR6170,5675,29300,indeterminate
Rep10458,C21820,PR6181,18627,39075,indeterminate
Rep10459,C21820,PR6165,205,1865,indeterminate
Rep10460,C21820,PR6552,3083,11460,indeterminate
Rep10461,C21820,PR6193,13357,28930,indeterminate
Rep10462,C21820,PR6171,235,1535,indeterminate
Rep10463,C21820,PR6167,366,4145,indeterminate
Rep10464,C21820,PR6227,305,2855,indeterminate
Rep10465,C21820,PR6165,410,3555,indeterminate
Rep10466,C21820,PR6604,1236,9005,indeterminate
Rep10467,C21820,PR6167,6121,22745,indeterminate
Rep10468,C21820,PR6529,3035,10325,indeterminate
Rep10469,C21820,PR6170,4478,23540,indeterminate
Rep10470,C21820,PR6167,3155,14830,indeterminate
Rep10471,C21820,PR6171,442,2355,indeterminate
Rep10472,C21820,PR6170,5675,29300,indeterminate
Rep10473,C21820,PR6183,3933,8705,indeterminate
Rep10474,C21820,PR6112,120,1280,indeterminate
Rep10475,C21820,PR6182,3791,11675,indeterminate
Rep10476,C21820,PR6112,217,3425,indeterminate
Rep10477,C21820,PR6603,110,1095,indeterminate
Rep10478,C21820,PR6183,2387,7980,indeterminate
Rep10479,C21820,PR6170,1953,10420,indeterminate
Rep10480,C21820,PR6604,116,1175,indeterminate
Rep10481,C21820,PR6175,216,3870,indeterminate
Rep10482,C21820,PR6167,3981,16390,indeterminate
Rep10483,C21820,PR6604,1260,9060,indeterminate
Rep10484,C21820,PR6165,205,1865,indeterminate
Rep10485,C21820,PR6170,5675,29300,indeterminate
Rep10486,C21820,PR6603,944,28615,indeterminate
Rep10487,C21820,PR6603,206,2780,indeterminate
Rep10488,C21820,PR6170,5675,29300,indeterminate
Rep10489,C21820,PR6171,200,5475,indeterminate
Rep10490,C21820,PR6528,820,2280,indeterminate
Rep10491,C21820,PR6227,305,2855,indeterminate
Rep10492,C21820,PR6183,2788,10995,indeterminate
Rep10493,C21820,PR6183,3933,8705,indeterminate
Rep10494,C21820,PR6181,11222,22975,indeterminate
Rep10495,C21820,PR6603,550,11875,indeterminate
Rep10496,C21820,PR6181,11222,22975,indeterminate
Rep10497,C21820,PR6528,820,2280,indeterminate
Rep10498,C21820,PR6604,1236,9005,indeterminate
Rep10499,C21820,PR6183,1971,7285,indeterminate
Rep10500,C21820,PR6602,1981,12720,indeterminate
Rep10501,C21820,PR6603,110,1095,indeterminate
Rep10502,C21820,PR6616,488,4055,indeterminate
Rep10503,C21820,PR6167,130,1340,indeterminate
Rep10504,C21820,PR6167,6121,23315,indeterminate
Rep10505,C21820,PR6322,138,1530,indeterminate
Rep10506,C21820,PR6181,22693,45105,indeterminate
Rep10507,C21820,PR6603,206,2780,indeterminate
Rep10508,C21820,PR6181,10587,32420,indeterminate
Rep10509,C21820,PR6166,132,1300,indeterminate
Rep10510,C21820,PR6322,135,1705,indeterminate
Rep10511,C21820,PR6193,13357,28930,indeterminate
Rep10512,C21820,PR6166,190,1625,indeterminate
Rep10513,C21820,PR6171,133,1720,indeterminate
Rep10514,C21820,PR6182,3791,11675,indeterminate
Rep10515,C21820,PR6604,1236,9005,indeterminate
Rep10516,C21820,PR6503,793,2235,indeterminate
Rep10517,C21820,PR6616,488,4055,indeterminate
Rep10518,C21820,PR6166,105,1035,indeterminate
Rep10519,C21820,PR6528,1433,3415,indeterminate
Rep10520,C21820,PR6181,18627,39075,indeterminate
Rep10521,C21820,PR6167,1194,6750,indeterminate
Rep10522,C21820,PR6183,286,1555,indeterminate
Rep10523,C21820,PR6166,105,1035,indeterminate
Rep10524,C21820,PR6602,2841,18065,indeterminate
Rep10525,C21820,PR6603,155,1575,indeterminate
Rep10526,C21820,PR6548,1786,7000,indeterminate
Rep10527,C21820,PR6181,11222,22975,indeterminate
Rep10528,C21820,PR6171,235,1535,indeterminate
Rep10529,C21820,PR6182,1716,6970,indeterminate
Rep10530,C21820,PR6181,18188,36870,indeterminate
Rep10531,C21820,PR6182,3683,11005,indeterminate
Rep10532,C21820,PR6170,3840,19845,indeterminate
Rep10533,C21820,PR6528,1433,3415,indeterminate
Rep10534,C21820,PR6183,1373,5320,indeterminate
Rep10535,C21820,PR6528,820,2280,indeterminate
Rep10536,C21820,PR6112,101,1005,indeterminate
Rep10537,C21820,PR6322,138,1530,indeterminate
Rep10538,C21820,PR6193,13357,28930,indeterminate
Rep10539,C21820,PR6603,123,1470,indeterminate
Rep10540,C21820,PR6603,206,2780,indeterminate
Rep10541,C21820,PR6183,2788,10995,indeterminate
Rep10542,C21820,PR6182,3791,11675,indeterminate
Rep10543,C21820,PR6603,552,11460,indeterminate
Rep10544,C21820,PR6166,190,1625,indeterminate
Rep10545,C21820,PR6171,2748,26825,indeterminate
Rep10546,C21820,PR6183,3933,8705,indeterminate
Rep10547,C21820,PR6603,291,4295,indeterminate
Rep10548,C21820,PR6112,217,3425,indeterminate
Rep10549,C21820,PR6175,216,4600,indeterminate
Rep10550,C21820,PR6183,286,1555,indeterminate
Rep10551,C21820,PR6170,4478,23540,indeterminate
Rep10552,C21820,PR6193,13357,28930,indeterminate
Rep10553,C21820,PR6503,793,2235,indeterminate
Rep10554,C21820,PR6182,1070,4050,indeterminate
Rep10555,C21820,PR6183,3190,9850,indeterminate
Rep10556,C21820,PR6171,2748,26825,indeterminate
Rep10557,C21820,PR6165,380,3310,indeterminate
Rep10558,C21820,PR6604,900,6560,indeterminate
Rep10559,C21820,PR6170,4478,23540,indeterminate
Rep10560,C21820,PR6182,3683,11005,indeterminate
Rep10561,C21820,PR6552,3083,11460,indeterminate
Rep10562,C21820,PR6181,11222,22975,indeterminate
Rep10563,C21820,PR6602,1981,12720,indeterminate
Rep10564,C21820,PR6166,105,1035,indeterminate
Rep10565,C21820,PR6529,3035,10325,indeterminate
Rep10566,C21820,PR6322,138,1530,indeterminate
Rep10567,C21820,PR6182,569,2265,indeterminate
Rep10568,C21820,PR6603,550,11875,indeterminate
Rep10569,C21820,PR6181,18627,39075,indeterminate
Rep10570,C21820,PR6167,366,4145,indeterminate
Rep10571,C21820,PR6171,2748,26825,indeterminate
Rep10572,C21820,PR6175,216,4600,indeterminate
Rep10573,C21820,PR6171,133,1720,indeterminate
Rep10574,C21820,PR6183,1971,7285,indeterminate
Rep10575,C21820,PR6166,190,1625,indeterminate
Rep10576,C21820,PR6182,1070,4050,indeterminate
Rep10577,C21820,PR6602,2841,18065,indeterminate
Rep10578,C21820,PR6171,2058,16425,indeterminate
Rep10579,C21820,PR6166,132,1300,indeterminate
Rep10580,C21976,PR6284,104,1250,indeterminate
Rep10581,C21976,PR6598,102,1080,indeterminate
Rep10582,C21976,PR6289,108,1705,indeterminate
Rep10583,C21976,PR6112,104,3100,indeterminate
Rep10584,C21976,PR6618,100,1135,indeterminate
Rep10585,C21976,PR6112,103,2655,indeterminate
Rep10586,C21976,PR6629,95,1030,indeterminate
Rep10587,C21976,PR6112,88,1005,indeterminate
Rep10588,C21976,PR6618,119,1615,indeterminate
Rep10589,C21976,PR6226,102,1005,indeterminate
Rep10590,C21976,PR6112,103,2655,indeterminate
Rep10591,C21976,PR6253,337,7155,indeterminate
Rep10592,C21976,PR6112,103,2800,indeterminate
Rep10593,C21976,PR6331,102,1170,indeterminate
Rep10594,C21976,PR6112,88,1005,indeterminate
Rep10595,C21976,PR6618,100,1020,indeterminate
Rep10596,C21976,PR6618,74,1010,indeterminate
Rep10597,C21976,PR6331,101,1145,indeterminate
Rep10598,C21976,PR6131,83,1005,indeterminate
Rep10599,C21976,PR6399,101,1100,indeterminate
Rep10600,C21976,PR6618,101,1105,indeterminate
Rep10601,C21976,PR6294,106,1365,indeterminate
Rep10602,C21976,PR6294,103,1230,indeterminate
Rep10603,C21976,PR6283,100,1030,indeterminate
Rep10604,C21976,PR6393,108,1565,indeterminate
Rep10605,C21976,PR6249,100,1015,No
Rep10606,C21976,PR6283,100,1045,indeterminate
Rep10607,C21976,PR6253,102,1310,indeterminate
Rep10608,C21976,PR6210,81,1020,indeterminate
Rep10609,C21976,PR6289,102,1175,indeterminate
Rep10610,C21976,PR6399,103,2600,indeterminate
Rep10611,C21976,PR6286,101,1075,indeterminate
Rep10612,C21976,PR6578,1044,4150,indeterminate
Rep10613,C21976,PR6151,101,1045,indeterminate
Rep10614,C21976,PR6618,75,1015,indeterminate
Rep10615,C21976,PR6394,102,1175,indeterminate
Rep10616,C21976,PR6285,106,1010,indeterminate
Rep10617,C21976,PR6112,90,1020,indeterminate
Rep10618,C21976,PR6314,100,1025,indeterminate
Rep10619,C21976,PR6329,102,1190,indeterminate
Rep10620,C21976,PR6253,102,1310,No
Rep10621,C21976,PR6395,102,1280,indeterminate
Rep10622,C21976,PR6154,100,1075,indeterminate
Rep10623,C21976,PR6112,90,1020,indeterminate
Rep10624,C21976,PR6250,101,1080,indeterminate
Rep10625,C21976,PR6229,139,1350,indeterminate
Rep10626,C21976,PR6383,102,2470,indeterminate
Rep10627,C21976,PR6314,100,1025,indeterminate
Rep10628,C21976,PR6154,109,1720,indeterminate
Rep10629,C21976,PR6297,100,1020,indeterminate
Rep10630,C21976,PR6284,105,1295,indeterminate
